Generated by : Dr. Ray Islam,,,,,,,,,
Genration Date: 04/10/2023,,,,,,,,,
Tool Used: Google Co-lab,,,,,,,,,
Model Used: CTGAN,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE
0,Cash loans,M,Y,Y,1,81344.4,142432,8673.2,149506.5
0,Revolving loans,F,N,Y,1,120843.8,89455.9,8068.3,140121.1
0,Cash loans,F,N,N,1,467339.4,640677,43498.9,1343217.7
1,Cash loans,F,N,Y,0,71894.2,246644.3,21511.2,202676.4
0,Cash loans,F,N,N,1,225341.4,830764.7,32539.2,814354.4
0,Cash loans,F,N,N,3,60030.6,274233.8,13514.1,299629.2
0,Cash loans,M,N,N,1,450198,1425074.1,45949.7,1362628.1
0,Cash loans,F,N,N,0,121005,1091381.2,28102.1,687194.4
0,Cash loans,F,N,Y,1,157566.9,420320.6,22726.9,462796
0,Cash loans,M,N,N,0,197612.7,457749,23642.7,545359.9
0,Cash loans,F,N,Y,1,284406,992136.5,34309.7,1331032.7
0,Cash loans,M,N,N,0,142937.6,577419.7,31827.9,453154.1
0,Revolving loans,M,Y,Y,0,90972.1,370135.7,6918.7,229292.1
0,Cash loans,F,N,N,0,74062.8,557397.7,36225.1,452825.6
0,Cash loans,F,N,Y,1,135761.8,914475.3,21980.5,832678
0,Cash loans,F,N,N,0,207437.8,730860.8,27243.9,489368.2
0,Cash loans,F,N,N,0,84859.5,716420.1,28034.9,698573.2
0,Cash loans,M,Y,Y,0,294817.8,231668.4,10201,176719.4
1,Cash loans,F,N,N,0,114857.8,804520.9,21524.9,960990.3
0,Revolving loans,M,Y,Y,0,81354.7,115935.3,9759.7,273803.4
0,Cash loans,M,N,N,0,176277.8,862813.4,12751.9,515134.9
0,Revolving loans,M,Y,Y,1,90861.1,287445.6,23966,926892.5
1,Cash loans,F,N,N,1,102648.2,1244750.6,39939.1,901289.8
0,Cash loans,M,N,N,2,138931.8,1054721.1,38364.2,689574.7
0,Cash loans,F,N,Y,1,235254.3,826300.4,26238.1,671166.7
0,Cash loans,F,N,Y,0,95111.6,489462.1,17718.9,686899.4
0,Cash loans,F,N,N,0,266258.3,681053.2,27759.2,538779.8
0,Revolving loans,M,Y,Y,0,94811.1,161613.5,13234.3,319306.3
0,Cash loans,M,N,Y,1,712649.4,755018,39250.5,812683.1
1,Cash loans,F,N,Y,1,76071.2,187359.4,12006.6,172239.1
1,Revolving loans,M,N,Y,0,154144.2,280347.8,15096.4,287754
0,Cash loans,F,N,Y,1,119480.6,318100.1,12608.3,288531.6
0,Cash loans,M,Y,Y,0,261848.6,181129.2,10119.2,133520.7
0,Cash loans,M,N,N,0,273643.6,487955.3,37772.8,479091.3
0,Revolving loans,M,Y,Y,0,82241.6,94745.3,8713.4,276112.9
1,Cash loans,F,N,N,0,78310,410241.9,12024.7,326188.9
0,Cash loans,F,N,Y,0,114748.3,276082,9506.8,171945.1
0,Cash loans,M,N,N,0,179419.7,1756644.5,62406.2,1118445.6
0,Cash loans,F,N,Y,0,118121.7,477398.5,28112.8,441041
0,Cash loans,F,N,Y,1,180406.7,1003588.4,34890.5,824672.7
0,Cash loans,F,N,N,0,92713.6,695513.3,27529.2,451339.2
0,Revolving loans,F,N,Y,2,161229.8,350856.8,18485.3,369685.7
0,Revolving loans,F,N,Y,0,173188,204053.7,17994.4,267864.6
0,Cash loans,M,N,Y,0,127021.8,684196.4,19722.1,667543.3
